,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
55,B1-REF,6,0,uclust,0.76:0.8:5,0.3926553672316384,0.0,0.5169491525423728,0.0903954802259887,"[0, 1, 3, 2, 16, 88, 105, 139]"
56,B1-REF,6,0,uclust,0.76:0.9:1,0.7231638418079096,0.0,0.0,0.2768361581920904,"[0, 0, 0, 0, 4, 34, 60, 256]"
57,B1-REF,6,0,uclust,0.76:0.9:3,0.4548022598870056,0.0,0.5028248587570622,0.0423728813559322,"[0, 0, 0, 2, 13, 87, 91, 161]"
58,B1-REF,6,0,uclust,0.76:0.9:5,0.423728813559322,0.0,0.4858757062146893,0.0903954802259887,"[0, 0, 1, 2, 13, 86, 102, 150]"
59,B1-REF,6,0,uclust,1.0:0.8:1,0.7288135593220338,0.0,0.0,0.2711864406779661,"[0, 0, 0, 0, 3, 33, 60, 258]"
60,B1-REF,6,0,uclust,1.0:0.8:3,0.4293785310734463,0.0,0.519774011299435,0.05084745762711865,"[0, 1, 1, 2, 15, 88, 95, 152]"
61,B1-REF,6,0,uclust,1.0:0.8:5,0.3135593220338983,0.0,0.6666666666666666,0.01977401129943503,"[0, 2, 4, 5, 20, 119, 93, 111]"
62,B1-REF,6,0,uclust,1.0:0.9:1,0.7231638418079096,0.0,0.0,0.2768361581920904,"[0, 0, 0, 0, 4, 34, 60, 256]"
63,B1-REF,6,0,uclust,1.0:0.9:3,0.4548022598870056,0.0,0.5028248587570622,0.0423728813559322,"[0, 0, 0, 2, 13, 87, 91, 161]"
64,B1-REF,6,0,uclust,1.0:0.9:5,0.3446327683615819,0.0,0.6412429378531074,0.014124293785310734,"[0, 0, 1, 3, 18, 123, 87, 122]"
65,B1-REF,6,1,rdp,0.0,0.7082228116710876,0.0,0.0,0.2917771883289125,"[0, 0, 0, 0, 3, 28, 79, 267]"
66,B1-REF,6,1,rdp,0.1,0.7082228116710876,0.0,0.005305039787798408,0.2864721485411141,"[0, 0, 0, 0, 3, 28, 79, 267]"
67,B1-REF,6,1,rdp,0.2,0.7082228116710876,0.0,0.007957559681697613,0.2838196286472148,"[0, 0, 0, 0, 3, 28, 79, 267]"
