,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
50,B1-REF,1,0,uclust,0.51:0.9:1,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
51,B1-REF,1,0,uclust,0.51:0.9:3,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
52,B1-REF,1,0,uclust,0.51:0.9:5,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
53,B1-REF,1,0,uclust,0.76:0.8:1,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
54,B1-REF,1,0,uclust,0.76:0.8:3,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
55,B1-REF,1,0,uclust,0.76:0.8:5,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
56,B1-REF,1,0,uclust,0.76:0.9:1,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
57,B1-REF,1,0,uclust,0.76:0.9:3,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
58,B1-REF,1,0,uclust,0.76:0.9:5,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
59,B1-REF,1,0,uclust,1.0:0.8:1,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
60,B1-REF,1,0,uclust,1.0:0.8:3,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
61,B1-REF,1,0,uclust,1.0:0.8:5,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
62,B1-REF,1,0,uclust,1.0:0.9:1,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
63,B1-REF,1,0,uclust,1.0:0.9:3,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
64,B1-REF,1,0,uclust,1.0:0.9:5,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
65,B1-REF,1,1,rdp,0.0,0.0,1.0,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
66,B1-REF,1,1,rdp,0.1,0.0,1.0,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
67,B1-REF,1,1,rdp,0.2,0.0,1.0,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
68,B1-REF,1,1,rdp,0.3,0.1111111111111111,0.8888888888888888,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
69,B1-REF,1,1,rdp,0.4,0.1111111111111111,0.8888888888888888,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
70,B1-REF,1,1,rdp,0.5,0.1111111111111111,0.8888888888888888,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
71,B1-REF,1,1,rdp,0.6,0.3333333333333333,0.6666666666666666,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
72,B1-REF,1,1,rdp,0.7,0.8888888888888888,0.1111111111111111,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
73,B1-REF,1,1,rdp,0.8,1.0,0.0,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
74,B1-REF,1,1,rdp,0.9,1.0,0.0,0.0,0.0,"[0, 9, 0, 0, 0, 0, 0, 0]"
75,B1-REF,1,1,rdp,1.0,0.8888888888888888,0.0,0.1111111111111111,0.0,"[1, 8, 0, 0, 0, 0, 0, 0]"
76,B1-REF,1,1,sortmerna,0.51:0.8:1:0.8:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
77,B1-REF,1,1,sortmerna,0.51:0.8:1:0.9:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
